logFC	AveExpr	t	P.Value	adj.P.Val	B
NBEAL1 /// RPL12 /// RPL12P4	0.554347647058819	11.2157962962963	4.71811920529911	6.0086891745736e-05	0.0250072399308561	1.81022652667822
XRCC5	0.650623705882351	9.90311703703704	4.70218603796755	6.27580501144186e-05	0.0250237700733461	1.77113004060944
DHRS4-AS1	0.796859647058821	6.95621555555556	4.69707140815216	6.36403449846868e-05	0.0250237700733461	1.75858069578805
TMEM129	0.707531352941176	6.5788162962963	4.69504415571542	6.39934648851568e-05	0.0250237700733461	1.75360671296668
CDC42BPA	0.782701117647057	7.19896518518518	4.69293714732546	6.43625461866357e-05	0.0250237700733461	1.74843711764087
HMGN1	1.18864852941176	10.0167966666667	4.68569549069517	6.56473008147473e-05	0.0250237700733461	1.73067012784103
UHRF1BP1	0.551528058823527	5.39141259259259	4.685531109158	6.56767586576806e-05	0.0250237700733461	1.73026683797194
BAG5	0.877896000000001	7.09116666666667	4.67207343344219	6.81336357815971e-05	0.0252590396898367	1.69725180034025
TAF1D	0.776265941176468	7.94413296296296	4.67169503025944	6.82040257171034e-05	0.0252590396898367	1.69632353343547
EIF1	1.16941935294117	7.93452592592593	4.66476732049345	6.95055834611392e-05	0.0252590396898367	1.67932956974123
IDH1	1.06957447058824	6.02705222222222	4.662017054559	7.0029128224817e-05	0.0252590396898367	1.67258332684058
TBKBP1	-0.556409647058827	6.97171	-4.65146516684176	7.20744943635511e-05	0.025654726598984	1.64670167262796
AKR1A1	0.780925647058821	6.86525407407407	4.63958171016657	7.44492606761255e-05	0.0261558623352019	1.61755697542347
MINOS1 /// MINOS1-NBL1	1.17710423529412	5.7946562962963	4.61445811683434	7.97293789179431e-05	0.0275366891734863	1.55595181779488
